ref:US-TX:thc,ref:hmdb,name,OsmNodeID,website,memorial:website,start_date,isActive,isHMDB,isMissing,isPending,isOSM,isPrivate,addr:full,addr:city,addr:county,UTM Zone,UTM Easting,UTM Northing,estimated:Latitude,estimated:Longitude,verified:Latitude,verified:Longitude,Recorded Texas Historic Landmark,thc:designation,Marker Notes,wikimedia_commons,subject:wikimedia_commons,subject:wikipedia,subject:wikidata,Marker Text,inscription_size,DATA_NOTE
1,187153,Early Community Building,5247943538,https://atlas.thc.texas.gov/Details/5023000001,https://www.hmdb.org/m.asp?m=187153,1969,True,True,False,False,True,False,200 North East Street,Seymour,Baylor,14,475919,3716596,33.588812,-99.25952,33.58918,-99.25892,True,Recorded Texas Historic Landmark,"S. East and E. Morris streets, Seymour",,,,,"Built 1877 by Charles Holman, builder-carpenter from Sweden. Stone was quarried south of town. Over the years, structure housed a school, churches, a newspaper office and a community center. It was purchased by J. E. McClelen in 1949 and restored as a private home. Recorded Texas Historic Landmark - 1969.",306,
2,93249,Birthplace of Hutchinson County Isaac McCormack Cottage,5247946865,https://atlas.thc.texas.gov/Details/5233000002,https://www.hmdb.org/m.asp?m=93249,1967,True,True,False,False,True,True,,Stinnett,Hutchinson,14,279392,3967648,35.828212,-101.442208,35.82825,-101.44218,True,Recorded Texas Historic Landmark,"East 5th St., N side between SH 136 and Morse Ave., N side of courthouse square",,,,,"Built 1899 with materials hauled at great peril across the Canadian - then without a bridge. Mr. McCormick, his wife Capitola, and 8 children lived in a covered wagon and a tent while they put up their house. Home became cradle of county government when it was site of first meeting to plan separate organization of Hutchinson County (which previously had been joined to Roberts County for judicial purposes). In 1901 it was one of polling places in first county election. Moved to town, 1928; donated by Edgar Britain, 1964, for a museum. Recorded Texas Historic Landmark - 1967",579,
3,,C Ranch House,,https://atlas.thc.texas.gov/Details/5003000003,,1966,True,False,False,False,False,True,,Andrews,Andrews,13,750608,3565137,32.1948611852881,-102.342245093009,,,True,Recorded Texas Historic Landmark,SE of Andrews near FM 1788 on private property,,,,,"First privately owned land in Midland area, purchased in 1883 by Nelson Morris of Chicago. Then known as the Chicago Ranch, it had the first wire fence and windmill in West Texas and world's largest herd of Black Angus cattle. Recorded Texas Historic Landmark - 1966",266,
4,,El Castile (Old Waggoner Home),,https://atlas.thc.texas.gov/Details/5497000004,,1962,True,False,False,False,False,False,,Decatur,Wise,14,632501,3678157,33.2342556173025,-97.577234391495,,,True,Recorded Texas Historic Landmark,"1000 E. Main St., Decatur",,,,,,0,
5,,Hard Scrabble,,https://atlas.thc.texas.gov/Details/5187000005,,1962,True,False,False,False,False,False,,Seguin,Guadalupe,14,600597,3277306,29.5666778642029,-97.9607080435808,,,True,Recorded Texas Historic Landmark,"513 East Nolte (was Market) Street, Seguin",,,,,,0,
6,65285,Kelly No. 2 Flight Line,5248071930,https://atlas.thc.texas.gov/Details/5029000006,https://www.hmdb.org/m.asp?m=65285,1986,True,True,False,False,True,False,205 S Frank Luke Dr,San Antonio,Bexar,14,541318,3250648,29.384378,-98.574207,29.38451,-98.57419,False,Historical Marker,"Kelly AFB, Bldg 1600 in parking area for 205 S. Luke or Twiing Hall, San Antonio",,,,,"In November 1916, Maj. Benjamin Foulois of the Aviation Section of the U.S. Army's Signal Corps chose a tract of land approximately three-fourths of a mile to the southeast of this spot to serve as a flying field for the Army Aviation Corps. In 1917, the site was named Camp Kelly and later Kelly Field in honor of Lt. George E.M. Kelly, who in 1911 had become the first American aviator to lose his life while piloting a military aircraft. Activities at the camp included both flight training and aircraft maintenance. In September 1917, Kelly Field's training activities moved north to this area, called ""Kelly No. 2"" to distinguish it from the original field. The new flight line, extending 125 yards east and 2400 yards west of this site, consisted of numerous hangars, warehouses, barracks, repair shops, classrooms, and maintenance buildings. ""Kelly No. 2"" retained its training function from 1917 through 1942. Its Air Corps Advanced Flying School produced many prominent American aviators, including Charles Lindbergh and Claire Chennault. In 1955, the advent of new and larger aircraft prompted the extension of the existing runway, this necessitating the demolition of the old ""Kelly No. 2"" flight line. (1986)",1220,
7,212021,Mision de las Cabras (Mission of the Goats),5248076893,https://atlas.thc.texas.gov/Details/5493000007,https://www.hmdb.org/m.asp?m=212021,1970,True,True,False,False,True,False,2542 County Rd 132,Floresville,Wilson,14,580234,3220277,29.108406,-98.175395,29.10859,-98.17542,False,Historical Marker,From Floresville take SH 97 approximately 2 miles south to marker.,File:Floresville-tx2016-18(mision-de-las-cabras).jpg,,,,"A fortified visita of Mission Espada, founded 1731 in San Antonio. Situated near Paso de las Mujeres (""Crossing of the Women""), an important ford on the San Antonio River, known to most parties obliged to travel between Mexico and San Antonio. Meadowland along the river and near the crossing was used to pasture cattle owned by Mission Espada. Indians under Espada's protection were kept here to herd the cattle. For the care of souls of the herdsmen, a chapel was built. The 1895 guide, ""San Antonio at a Glance,"" described the Old Cabras site as a 2-acre, diamond-shaped lot with bastions at each end. After secularization of the missions in 1794, lands here were owned by one of the descendants of Spain's colonists from the Canary Islands, Ignacio Calvillo. In turn, the Cabras site was inherited by Calvillo's flamboyant daughter, Dona Maria Del Carmen (born in 1765). Noted for her independent spirit, she forsook her husband, Gavino Delgado, and personally managed the ranch, her long black hair flying in the wind as she rode a great white horse. She kept down Indian troubles by paying tribute in beef. In her time and for a century afterward Old Mission Cabras remained in use for rites of the church. (1970)",1219,
8,,Presidio - Oldest Town in America,,https://atlas.thc.texas.gov/Details/5377000008,,1961,True,False,False,False,False,False,,Marfa,Presidio,,,,,,30.310333,-104.005567,False,Historical Marker,1/2 mile E. of Marfa (with Presidio County markers),,,,,"At confluence of Concho and Rio Grande Rivers. A settlement for over 10,000 years. Site of first recorded wagon train crossing into Texas, December [year illegible], headed by Antonio de Espejo. Marker placed jointly by Texas Society, Children of the American Revolution, Texas Society, Daughters of the American Colonists. (1961)",330,"verified: coordinate added 2026-08-15 from texashistoricalmarkers.weebly.com (https://texashistoricalmarkers.weebly.com/presidio-oldest-town-in-america.html), recorded there in degrees+decimal minutes. That format measured a 1 m median error against hmdb field coordinates on 1,092 markers, versus 61 m for the THC estimate, and this marker has no hmdb entry so the value is independently sourced. THC estimate was (none),(none)."
9,127585,David Ayers,5248091485,https://atlas.thc.texas.gov/Details/5167000009,https://www.hmdb.org/m.asp?m=127585,1990,True,True,False,False,True,False,4002 Avenue K,Galveston,Galveston,15,324092,3242004,29.294762,-94.811042,29.29444,-94.81222,False,Historical Marker,"Old City Cemetery, 42nd and Broadway",,,,,,0,
10,117796,The Canyon News,5249554631,https://atlas.thc.texas.gov/Details/5381000010,https://www.hmdb.org/m.asp?m=117796,1968,True,True,False,False,True,False,1500 5th Avenue,Canyon,Randall,14,232587,3874654,34.97917,-101.929317,34.97874,-101.92866,False,Historical Marker,"On Canyon News Building, 414 15th Street, Canyon",,,,,"First city newspaper, the""Echo,"" was printed 1889. The ""Stayer"" (1896), later renamed ""Randall County News,"" was predecessor of the ""News."" Clyde W. Warwick, editor 45 years, 1910-1955. Won awards for outstanding weekly 1942, 1950. Special Edition (1949) was rated nation's best. Troy Martin became editor 1960. (1968)",318,
