ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
2184,12308,A. A. & Mary Spacek House,Texas Historical Commission,30.71600,-97.44515,204 S Rio Grande St,Granger,Williamson County,
2204,13802,A. S. Mason House,Texas Historical Commission,30.56686,-97.86629,,Leander,Williamson County,
2245,9029,Andice Baptist Church,Texas Historical Commission,30.78187,-97.85439,6570 Fm 970,Andice,Williamson County,
2287,12298,Barker House,Texas Historical Commission,30.51452,-97.69392,1113 Ledbetter Street,Round Rock,Williamson County,
2327,9316,Andrew J. Palm House,Texas Historical Commission,30.50902,-97.67728,208 E Main Ave,Round Rock,Williamson County,
2497,12426,Brick Streets in Granger,Texas Historical Commission,30.71790,-97.44533,,Granger,Williamson County,
2510,9038,Bryson Stagecoach Stop,Texas Historical Commission,30.67770,-97.94401,,Liberty Hill,Williamson County,
2544,9039,Burcham House,Texas Historical Commission,30.63220,-97.67182,1310 S College St,Georgetown,Williamson County,
2562,13876,C.A.D. Clamp,Texas Historical Commission,30.63732,-97.67701,705 South Main Street,Georgetown,Williamson County,
2644,9045,Cotton Cards Factory,State Historical Survey Committee,30.63602,-97.43476,,Circleville,Williamson County,
2740,12994,Champion Cemetery,Texas Historical Commission,30.51243,-97.75788,,Cedar Park,Williamson County,
2743,9358,City of Taylor,Texas Historical Commission,30.57097,-97.40948,,Taylor,Williamson County,
2754,12640,City of Weir,Texas Historical Commission,30.67478,-97.58638,,Weir,Williamson County,
2793,9363,Community of Theon,Texas Historical Commission,30.76248,-97.59709,,Theon,Williamson County,
2801,12702,Confederate Chaplains,State Historical Survey Committee,30.52456,-97.63360,,Round Rock,Williamson County,
2844,9044,Cornhill Cemetery,State Historical Survey Committee,30.80207,-97.60422,,Jarrell,Williamson County,
2905,13674,David Love Store,Texas Historical Commission,30.63713,-97.67816,706 S Austin Ave,Georgetown,Williamson County,
2948,9047,Doak Home,the Texas Historical Survey Committee,30.57297,-97.41668,600 W 7th St,Taylor,Williamson County,
3087,13616,Dr. James Lee Dickey,Texas Historical Commission,30.57216,-97.40530,500 Burkett St,Taylor,Williamson County,
3096,9084,Early Church,State Historical Survey Committee,30.83816,-97.78937,,Florence,Williamson County,
3140,9085,Early Commercial Building,the Texas Historical Survey Committee,30.50893,-97.67758,203 E Main Ave,Round Rock,Williamson County,
3197,9086,Eikel-Prewitt Building,Texas Historical Commission,30.57037,-97.40966,316 N Main St,Taylor,Williamson County,
3208,9028,Elisha Allen,Texas Historical Commission,30.77484,-97.44230,,Bartlett,Williamson County,
3265,13603,Farmers State Bank Building,Texas Historical Commission,30.63683,-97.67815,716 S Austin Ave,Georgetown,Williamson County,
3303,12417,First Baptist Church of Florence,Texas Historical Commission,30.84291,-97.79308,106 College Ave,Florence,Williamson County,
3379,9091,First Christian Church of Taylor,State Historical Survey Committee,30.57264,-97.41103,603 Talbot St,Taylor,Williamson County,
3526,9092,First Presbyterian Church of Taylor,Texas Historical Commission,30.57249,-97.41071,114 W 6th St,Taylor,Williamson County,
3562,9094,Fore Cemetery,Texas Historical Commission,30.71535,-97.82963,,Andice,Williamson County,
3944,13924,Founding of Georgetown,"Texas Historical Commission, Sponsored by Daniel Coleman Chapter, NSDAR",30.63576,-97.67598,,Georgetown,Williamson County,
3952,9328,G.W. Riley House,State Historical Survey Committee,30.63234,-97.67183,1302 South College Street,Georgetown,Williamson County,
4004,9111,George Irvine House,Texas Historical Commission,30.63327,-97.67388,409 E University Ave,Georgetown,Williamson County,
4035,13918,Georgetown Fire House and Old City Hall,Texas Historical Commission,30.63584,-97.67700,816 S Main St,Georgetown,Williamson County,
4059,9098,Georgetown High School Building,Texas Historical Commission,30.63381,-97.67242,507 E University Ave,Georgetown,Williamson County,
4114,9099,Granger Brethren Church,Texas Historical Commission,30.71911,-97.44681,326 W Broadway St,Granger,Williamson County,
4150,9100,Granger City Hall,Texas Historical Commission,30.71751,-97.44079,212 East Davilla Street,Granger,Williamson County,
4172,9101,Granger High School,Texas Historical Commission,30.72004,-97.43682,,Granger,Williamson County,
4220,9103,Harrell-Stone House,Texas Historical Commission,30.63142,-97.67405,1404 South Elm Street,Georgetown,Williamson County,
4255,9104,Heinatz Homestead,State Historical Survey Committee,30.57523,-97.87139,,Leander,Williamson County,
4257,9105,Hopewell Cemetery,Texas Historical Commission,30.64622,-98.01313,,Liberty Hill,Williamson County,
4281,9032,"Howard Bland, Sr.",Texas Historical Commission,30.56284,-97.37028,,Taylor,Williamson County,
4299,13477,Hutto Cemetery,Texas Historical Commission,30.52097,-97.54610,,Hutto,Williamson County,
4300,9108,Hutto Evangelical Lutheran Church,Texas Historical Commission,30.54646,-97.54481,402 Church St,Hutto,Williamson County,
4345,13871,Iota Chapter,Texas Historical Commission,30.63585,-97.66716,,Georgetown,Williamson County,
4346,9297,J. A. McDougle Home,Texas Historical Commission,30.63222,-97.67405,1312 S Elm St,Georgetown,Williamson County,
4375,9042,Jesse Cooper House,Texas Historical Commission,30.64246,-97.64687,,Georgetown,Williamson County,
4407,12301,Jonah Cemetery,Texas Historical Commission,30.63767,-97.51805,,Georgetown,Williamson County,
4408,13919,Judge Greenleaf Fisk,Texas Historical Commission,30.63723,-97.67801,710 S Main St,Georgetown,Williamson County,
4419,9002,Kendleton,State Historical Survey Committee,29.44753,-96.00039,,Kendleton,Fort Bend County,
4440,9142,Kimbro Family Cemetery,Texas Historical Commission,30.49516,-97.49356,,Taylor,Williamson County,
4441,12829,Klattenhoff House,Texas Historical Commission,30.50715,-97.57808,2450 Farm-to-Market 685,Hutto,Williamson County,
4456,9257,Lawler Community,the Texas Historical Survey Committee,30.86080,-97.74679,,Florence,Williamson County,
4499,,Buddy Holly,Citizens of Lubbock,33.58877,-101.85399,701 Avenue Q,Lubbock,Lubbock County,Confirmed Missing
4531,13916,Lesesne-Stone Building,Texas Historical Commission,30.63648,-97.67713,102 W 8th St,Georgetown,Williamson County,
4606,9344,"Luther Stearns, Sr.",Texas Historical Commission,30.57427,-97.39866,1101 E 4th St,Taylor,Williamson County,
4608,13873,M.B. Lockett Building,Texas Historical Commission,30.63745,-97.67787,117 W 7th St,Georgetown,Williamson County,
4654,10074,Luckenbach,Texas Historical Commission,30.17883,-98.75655,412 Luckenbach Town Loop,Luckenbach,Gillespie County,
4660,,Kennedy Assassination Route,,32.77895,-96.80817,,Dallas,Dallas County,
4661,6895,Formerly The Texas School Book Depository Building,Texas Historical Commission,32.77965,-96.80822,411 Elm Street,Dallas,Dallas County,
4672,,John F. Kennedy Memorial Plaza,The Sixth Floor Museum at Dealey Plaza,32.77894,-96.80662,,Dallas,Dallas County,Reported Missing
4675,,Dealey Plaza,City of Dallas Park Board,32.77896,-96.80811,,Dallas,Dallas County,
4677,,Dealey Plaza National Historic Landmark,,32.77908,-96.80875,,Dallas,Dallas County,
4682,9294,Macedonia Cemetery,Texas Historical Commission,30.69108,-97.48362,,Granger,Williamson County,
4690,12371,Mager Cemetery,Texas Historical Commission,30.48848,-97.31947,,Beyersville,Williamson County,
4691,9307,Mankins Crossing,Texas Historical Commission,30.64663,-97.58263,,Georgetown,Williamson County,
4710,9340,Marsh F. Smith House,Texas Historical Commission,30.63285,-97.67799,1242 South Austin Avenue,Georgetown,Williamson County,
4738,12303,Monodale Community,Texas Historical Commission,30.58958,-97.53420,,Hutto,Williamson County,
4759,4759,Guadalupe Peak,Texas Highway Department,31.85426,-104.84484,,Pine Springs,Culberson County,
4764,13898,Chief Justice John Edward Hickman,State Historical Survey Committee,30.63723,-97.67801,710 S Main St,Georgetown,Williamson County,
4778,9308,Nelson-Crier House,Texas Historical Commission,30.50955,-97.67537,405 E Main Ave,Round Rock,Williamson County,
4788,5407,The Rainmakers of 1891,Texas Sesquicentennial 1836 - 1986,31.78258,-106.47975,1600 Scenic Dr,El Paso,El Paso County,
