ref:US-TX:thc,ref:hmdb,isMissing,name,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county
10235,120737,,	Beef for the Confederacy,State Historical Survey Committee,29.95248,-97.87953,,Kyle,Hays County
9493,286800,,“Ace of Clubs” House,Texas Historical Commission,33.42416,-94.04446,420 Pine Street,Texarkana,Bowie County
9524,92231,,"""Brit"" Bailey Plantation",State Historical Survey Committee,29.1463,-95.5225,1960 Jimmy Phillips Boulevard,Bailey's Prairie,Brazoria County
10636,246874,,"""Constitution"" Bend",State Historical Survey Committee,29.74856,-95.29224,7300 Clinton Dr,Houston,Harris County
7792,279961,,“Fourth-Sunday Singing”,State Historical Survey Committee,33.2368,-95.97151,3816 FM2874,Commerce,Hunt County
17641,220768,,"""Hey Paula""",Texas Historical Commission,31.71725,-98.98567,1004 Center Ave,Brownwood,Brown County
6,65285,,"""Kelly No. 2"" Flight Line",Texas Historical Commission,29.38451,-98.57419,205 S Frank Luke Dr,San Antonio,Bexar County
9283,286750,,"""Los Ojos de Padre Margil""",Texas Historical Commission,31.60608,-94.64492,,Nacogdoches,Nacogdoches County
18184,201974,,"""Machine Gun"" Kelley",Texas Historical Commission,33.06473,-97.7065,,Cottondale,Wise County
9967,138956,,"""Oil City of the World"" Kilgore",State Historical Survey Committee.,32.39086,-94.86514,North Kilgore Street,Kilgore,Gregg County
7539,90111,,"""Old Red""",State Historical Survey Committee,29.3114,-94.77908,,Galveston,Galveston County
11153,255344,,"""Old"" Hardin",State Historical Survey Committee,30.34664,-94.34684,,Kountze,Hardin County
10420,100496,,"""Polk County Enterprise""",State Historical Survey Committee,30.71205,-94.93198,,Livingston,Polk County
4181,259497,,"""Rancho Viejo""",State of Texas,25.98506,-97.52095,,Brownsville,Cameron County
18212,286937,,"""Slocum Massacre""",Texas Historical Commission,31.62588,-95.45624,3150 FM 2022,Slocum,Anderson County
23477,280587,,“Sugar Land 95” State Convict Lease Labor Camp Cemetery,Texas Historical Commission,29.60611,-95.64786,12300 University Boulevard,Sugar Land,Fort Bend County
10,117796,,"""The Canyon News""",State Historical Survey Committee,34.97874,-101.92866,1500 5th Avenue,Canyon,Randall County
11,100448,,"""The Claude News""",State Historical Survey Committee,35.11056,-101.35908,119 Trice Street,Claude,Armstrong County
8240,59424,,"""The Cradle""",State Historical Survey Committee,29.29123,-94.79678,2902 Avenue O 1/2,Galveston,Galveston County
12,29619,,"""The Ditch""",State Historical Survey Committee,30.9165,-99.7865,,Menard,Menard County
11313,139419,,"""The Gilmer Mirror""",State Historical Survey Committee,32.72888,-94.94322,214 East Marshall Street,Gilmer,Upshur County
3039,92491,,"""The Poet Ranchman"" Larry Chittenden",State Historical Survey Committee,32.94118,-99.81899,,Stamford,Jones County
18585,268784,,"""The Waco Horror"": The Lynching of Jesse Washington",Texas Historical Commission,31.55863,-97.13007,300 Austin Ave,Waco,McLennan County
5463,287193,,"""Thistle Hill""",Texas Historical Commission,32.73807,-97.34229,1509 Pennsylvania Ave,Fort Worth,Tarrant County
9369,60279,,"""Webster Massacre""",State of Texas,30.58291,-97.82639,,Leander,Williamson County
16,201227,,"""Weir No.1"" Oil Well",State Historical Survey Committee,31.28363,-102.04539,,Rankin,Upton County
6722,148094,,"&#8203;Garland Lodge No. 441, A.F. & A.M.",Texas Historical Commission,32.9135,-96.62962,125 East State Street,Garland,Dallas County
11787,160881,,&#8203;Johnson Street Church of Christ,Texas Historical Commission,31.43713,-100.46227,2200 Johnson Street,San Angelo,Tom Green County
14452,266863,,&#922;appa &#922;appa Gamma House,Texas Historical Commission,30.28272,-97.73947,2001 University Ave,Austin,Travis County
23481,286304,,<i>El Colegio Altamirano</i>,Texas Historical Commission,27.30824,-98.67262,511 E. Santa Clara Street,Hebbronville,Jim Hogg County
16256,270017,,<i>Hernandez v. State of Texas</i>,Texas Historical Commission,28.97773,-96.64751,103 Ed Linn St,Edna,Jackson County
17054,130096,,<i>In Re Ricardo Rodriguez</i>,Texas Historical Commission,29.42667,-98.48627,615 East Houston Street,San Antonio,Bexar County
16957,221468,,<i>Lufkin Daily News</i>,Texas Historical Commission,31.33916,-94.73075,300 Ellis Avenue,Lufkin,Angelina County
22695,290394,,<i>Pastores</i> of Bailey County,Texas Historical Commission,33.91211,-102.7569,,Enochs,Bailey County
11567,127633,,<i>SS Selma</i>,Texas Historical Commission,29.33665,-94.77795,100 Seawolf Park Boulevard,Galveston,Galveston County
13887,288762,,<i>Temple Daily Telegram</i>,Texas Historical Commission,31.09684,-97.34355,10 S 3rd Street,Temple,Bell County
16252,211552,,<i>Terry v. Adams</i>,Texas Historical Commission,29.4476,-96.0018,136335 Willie Melton Blvd,Kendleton,Fort Bend County
18496,247388,,<i>The Baytown Sun</i>,Texas Historical Commission,29.74348,-94.97567,1301 Memorial Dr,Baytown,Harris County
12977,100419,,<i>The Clarendon News</i>,Texas Historical Commission,34.93876,-100.88763,105 South Kearney Street,Clarendon,Donley County
12519,72309,,<i>The Comanche Chief</i>,Texas Historical Commission,31.89848,-98.60538,203 West Grand Avenue,Comanche,Comanche County
16829,211721,,<i>The Ranchero</i>,Texas Historical Commission,27.7944,-97.39404,312 N Chaparral St,Corpus Christi,Nueces County
15,34985,,<i>Treue Der Union </i> Monument,"State Historical Survey Committee and the Comfort Heritage Foundation (1988, 2004, 2008)",29.96978,-98.91378,,Comfort,Kendall County
11301,119455,,<small>C.S.A. </small> Camp Talley,State Historical Survey Committee.,32.83865,-94.75574,,Coffeeville,Upshur County
11478,116867,,<small>Site Of </small>End Of The Line Station,Texas Historical Commission,30.09103,-93.73096,,Orange,Orange County
10446,136880,,<small>Site of the</small> First Kirbyville Church,Texas Historical Commission,30.66128,-93.89279,107 North Elizabeth Avenue,Kirbyville,Jasper County
13067,136877,,<small>Site of</small> J.H. Rowe School,Texas Historical Commission,30.91712,-93.98875,,Jasper,Jasper County
8306,151327,,"100th Anniversary Brenham ""Banner-Press""",State Historical Survey Committee,30.14562,-96.38553,2430 Stringer Street,Brenham,Washington County
22,74770,,12th Armored Division at Camp Barkeley,Texas Historical Commission,32.43593,-99.80859,,Abilene,Taylor County
2494,153717,,133 Yards East to Site of Historic Cottonwood,State Historical Survey Committee,35.88701,-100.17969,,Canadian,Hemphill County
15954,60758,,15th Texas Infantry Companies E and G,Texas Historical Commission,32.07713,-96.49694,3100 West Collin Avenue,Corsicana,Navarro County
6284,118050,,1766 Exploration of Diego Ortiz Parilla,State Historical Survey Committee,27.35246,-97.83118,,Riviera,Kleberg County
1221,128171,,1834 Homesite of Capt. and Mrs. Almaron Dickinson,State Historical Survey Committee,29.49888,-97.45291,226 St. James Street,Gonzales,Gonzales County
16602,167419,,1835 Attack at Sandies Water Hole,Texas Historical Commission,29.38074,-97.7501,,Leesville,Gonzales County
16008,225823,,1840 Houston City Cemetery,Texas Historical Commission,29.76849,-95.36793,1101 Elder Street,Houston,Harris County
18510,191870,,1848 Denton County Seat,Texas Historical Commission,33.14875,-97.07895,,Corinth,Denton County
8087,289449,,"1854 ""Plantation"" House",State Historical Survey Committee,32.7568,-94.34757,211 N Market Street,Jefferson,Marion County
7513,65061,,1871 Thomas Jefferson League Building,Texas Historical Commission,29.30698,-94.79462,,Galveston,Galveston County
16385,82548,,1873 Infantry Barracks,Texas Historical Commission,29.30458,-100.42101,367 Fort Clark Road,Brackettville,Kinney County
24138,274450,,1881 Freestone County Jail,State Historical Survey Committee,31.72648,-96.15793,302 E Main St,Fairfield,Freestone County
,88455,,1881 Smith County Jail,State of Texas,32.35069,-95.29807,309 E. Erwin,Tyler,Smith County
12425,118670,,1886 Hurricane at Sabine Pass,Texas Historical Commission,29.73475,-93.89387,,Sabine Pass,Jefferson County
7120,152271,,1889 Masonic Lodge Hall,Texas Historical Commission,32.38488,-96.8477,,Waxahachie,Ellis County
25,128677,,1890 Clay County Jail,Texas Historical Commission,33.81631,-98.19703,116 North Graham Street,Henrietta,Clay County
26,76845,,1890 Cornerstone Ceremony,Texas Historical Commission,29.70603,-96.53967,,Columbus,Colorado County
6576,95356,,1892 Victoria County Courthouse,Texas Historical Commission,28.79965,-97.00712,115 N Bridge St,Victoria,Victoria County
429,126810,,1894 Blanco County Jail,Texas Historical Commission,30.27762,-98.41103,200 North Avenue G,Johnson City,Blanco County
7478,26968,,1894 Grand Opera House,Texas Historical Commission,29.30528,-94.79085,2020 Post Office Street,Galveston,Galveston County
22541,266693,,1897 Howe Truss Train Trestle,Texas Historical Commission,32.75645,-94.34284,500 E Broadway St,Jefferson,Marion County
9418,95469,,1899 Automobile Trip,Texas Historical Commission,32.74761,-96.47262,,Forney,Kaufman County
28,69907,,1904 Leon River Bridge,Texas Historical Commission,31.43283,-97.7613,,Gatesville,Coryell County
8638,74293,,1906 Reunion of Hood's Texas Brigade,Texas Historical Commission,30.34637,-96.52846,,Somerville,Burleson County
29,155855,,1907 Comfort State Bank Building,Texas Historical Commission,29.96725,-98.90796,,Comfort,Kendall County
30,287796,,1908 First Baptist Church Building,Texas Historical Commission,31.12659,-97.90405,305 N 3rd St,Copperas Cove,Coryell County
22824,229630,,1910 Lynching of Allen Brooks,Texas Historical Commission,32.77842,-96.80753,100 S Houston St,Dallas,Dallas County
9740,27396,,1910 Post Office Building,Texas Historical Commission,30.57079,-98.27798,115 Main St,Marble Falls,Burnet County
11815,164620,,1911 McKinney Post Office,Texas Historical Commission,33.19785,-96.6132,,McKinney,Collin County
13830,118643,,1912 Cameron County Courthouse,Texas Historical Commission,25.90435,-97.4952,1150 E Madison St,Brownsville,Cameron County
31,117886,,1912 Cameron County Jail,Texas Historical Commission,25.90523,-97.49298,1201 E Van Buren St,Brownsville,Cameron County
18087,130116,,1915 New Braunfels Post Office,Texas Historical Commission,29.70266,-98.12638,196 North Castell Avenue,New Braunfels,Comal County
20083,212659,,1918 Waxahachie High School,Texas Historical Commission,32.39623,-96.84908,602 West 2nd Street,Waxahachie,Ellis County
12126,205031,,1919 Storm,Texas Historical Commission,27.82281,-97.38839,,Corpus Christi,Nueces County
23671,263618,,1921 Young County Jail,Texas Historical Commission,33.10532,-98.59048,505 2nd Street,Graham,Young County
7404,223640,,1924 Masonic Temple,Texas Historical Commission,33.63601,-96.60776,201 E Lamar Street,Sherman,Grayson County
12254,139418,,1925 Gilmer Post Office,Texas Historical Commission,32.72946,-94.9438,119 Simpson Street,Gilmer,Upshur County
16722,187047,,1925 Henderson County Jail,Texas Historical Commission,32.20659,-95.85333,201 East Larkin Street,Athens,Henderson County
11816,167861,,1927 Collin County Courthouse,Texas Historical Commission,33.1975,-96.61568,,McKinney,Collin County
18096,171697,,1927 Denton City Hall,Texas Historical Commission,33.2164,-97.13377,,Denton,Denton County
33,187223,,1927 Montague County Jail,Texas Historical Commission,33.66432,-97.71973,112 Grand Street,Montague,Montague County
10648,116847,,1928 Democratic National Convention,Texas Historical Commission,29.76198,-95.36913,800 Bagby Street,Houston,Harris County
,112201,,1928 Granite Water Fountain,The State of Texas,30.27458,-97.73901,1100 Congress Avenue,Austin,Travis County
22562,200496,,1928 Phillips 66 Service Station,Texas Historical Commission,34.39294,-100.89507,501 Main Street,Turkey,Hall County
7823,119688,,1929 Hunt County Courthouse,Texas Historical Commission,33.13964,-96.10702,2507 Lee Street,Greenville,Hunt County
11909,212088,,1931 Free Bridge Controversy,Texas Historical Commission,33.81881,-96.53577,6801 US-75,Denison,Grayson County
6425,25757,,1933 Austin Public Library,Texas Historical Commission,30.27178,-97.74587,810 Guadalupe Street,Austin,Travis County
35,187277,,1933 Weatherford City Hall,Texas Historical Commission,32.75884,-97.79897,119 Palo Pinto Street,Weatherford,Parker County
36,55847,,1934 Pampa Post Office Building,Texas Historical Commission,35.53611,-100.96039,120 East Foster Avenue,Pampa,Gray County
23561,288524,,1940 Knapp Chevrolet Building,Texas Historical Commission,29.76985,-95.37221,1230 Houston Avenue,Houston,Harris County
12628,180567,,1940 Train-Truck Collision,Texas Historical Commission,26.18204,-98.11156,100 N Tower Rd,Alamo,Hidalgo County
18252,117454,,1941 Corpus Christi Seawall,Texas Historical Commission,27.79568,-97.39107,,Corpus Christi,Nueces County
18854,231749,,1966 Farm Workers Rally and March,Texas Historical Commission,27.79652,-97.39103,600 N Shoreline Blvd,Corpus Christi,Nueces County
5097,89895,,2.5 Mi. East is Birthplace of Stanley Walker,State Historical Survey Committee,31.22572,-98.17478,,Adamsville,Lampasas County
13906,192523,,"201st Fighter Squadron, Mexican Expeditionary Air Force (the Aztec Eagles)",Texas Historical Commission,28.84761,-96.92456,333 Bachelor Drive,Victoria,Victoria County
4519,30588,,250th Anniversary of the Founding of San Antonio,State Historical Survey Committee,29.42345,-98.48721,,San Antonio,Bexar County
16260,218661,,2nd Cavalry Division at Fort Clark,Texas Historical Commission,29.30713,-100.42043,,Brackettville,Kinney County
89,174509,,2nd. Lt. Adolph Strieber,State Historical Survey Committee,28.99024,-97.52061,1335 Westside Cemetery Road,Yorktown,DeWitt County
