hmdb_MarkerID,duplicates_thc,hmdb_title,hmdb_marker_no_as_filed,marker_no_matches,note,date_added
200387,493,Brazos Indian Reservation School (1858-1859),493,yes,duplicate page for a marker the atlas already documents,2026-08-14
38048,705,Capt. James W. Magoffin,705,yes,duplicate page for a marker the atlas already documents,2026-08-14
69236,1995,Fort Mason-Camp Cooper Military Road,1995,yes,duplicate page for a marker the atlas already documents,2026-08-14
270620,4069,Poolville,1469,NO,"duplicate page; hmdb files it under Marker No. 1469, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
222973,4086,Post Hospital,4086,yes,duplicate page for a marker the atlas already documents,2026-08-14
118166,4269,Site of Rincon/Douglass School,4269,yes,duplicate page for a marker the atlas already documents,2026-08-14
163287,4601,Schmidtke-Callahan House,4061,NO,"duplicate page; hmdb files it under Marker No. 4061, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
83081,4695,Silver,4695,yes,duplicate page for a marker the atlas already documents,2026-08-14
77944,4983,"Southern Overland Mail, 1858-1861",4983,yes,duplicate page for a marker the atlas already documents,2026-08-14
35909,5315,The Crash at Crush,5315,yes,duplicate page for a marker the atlas already documents,2026-08-14
33216,5448,The Waco Suspension Bridge,5448,yes,duplicate page for a marker the atlas already documents,2026-08-14
201836,5652,Victoria County C.S.A.,5652,yes,duplicate page for a marker the atlas already documents,2026-08-14
89966,6488,Site of Organization of the Texas Forestry Association,6448,NO,"duplicate page; hmdb files it under Marker No. 6448, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
75076,6572,Tonkawa Bank,6572,yes,duplicate page for a marker the atlas already documents,2026-08-14
58071,7172,St. Mary's Cathedral,7172,yes,duplicate page for a marker the atlas already documents,2026-08-14
290779,7888,Methodist Parsonage,7888,yes,duplicate page for a marker the atlas already documents,2026-08-14
233996,8937,Site of Steger Opera House,8973,NO,"duplicate page; hmdb files it under Marker No. 8973, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
202455,9052,Town of Needville,9053,NO,"duplicate page; hmdb files it under Marker No. 9053, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
35864,10123,Vereins Kirche,10123,yes,duplicate page for a marker the atlas already documents,2026-08-14
195613,10237,Belvin Street Historic District,10237,yes,duplicate page for a marker the atlas already documents,2026-08-14
50136,10806,Wooster School,10806,yes,duplicate page for a marker the atlas already documents,2026-08-14
280108,10855,Dougherty Community Cemetery,10856,NO,"duplicate page; hmdb files it under Marker No. 10856, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
255360,11149,"General Braxton Bragg, C.S.A.",11149,yes,duplicate page for a marker the atlas already documents,2026-08-14
183144,11878,Cedar Cemetery,11787,NO,"duplicate page; hmdb files it under Marker No. 11787, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
205031,12126,1919 Storm,12126,yes,duplicate page for a marker the atlas already documents,2026-08-14
155849,12752,Hermann and Antoine Ingenhuett Homestead,12756,NO,"duplicate page; hmdb files it under Marker No. 12756, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
301101,12968,City of Lubbock Cemetery,12968,yes,duplicate page for a marker the atlas already documents,2026-08-14
279993,13046,Sunny Point Cemetery,12088,NO,"duplicate page; hmdb files it under Marker No. 12088, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
150356,14149,Llano County,14149,yes,duplicate page for a marker the atlas already documents,2026-08-14
187130,15201,San Leon Cemetery,15200,NO,"duplicate page; hmdb files it under Marker No. 15200, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
165749,16277,First Presbyterian Church,16277,yes,duplicate page for a marker the atlas already documents,2026-08-14
194597,16889,Chambersville,22666,NO,"duplicate page; hmdb files it under Marker No. 22666, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
103074,18286,Galveston Orphans Home,1826,NO,"duplicate page; hmdb files it under Marker No. 1826, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
295515,19979,Brown Cemetery,19989,NO,"duplicate page; hmdb files it under Marker No. 19989, which is wrong -- re-confirm after the next hmdb pull",2026-08-14
