ref:US-TX:thc,ref:hmdb,name,OsmNodeID,website,memorial:website,isTHC,isHMDB,isMissing,isPending,isOSM,isPrivate,addr:full,addr:city,addr:county,UTM Zone,UTM Easting,UTM Northing,thc:Latitude,thc:Longitude,hmdb:Latitude,hmdb:Longitude,Recorded Texas Historic Landmark,thc:designation,Marker Notes,wikimedia_commons,subject:wikimedia_commons,subject:wikipedia,wikidata,subject:wikidata,Marker Text,inscription_size,DATA_NOTE,geometry
9418,95469,1899 Automobile Trip,,https://atlas.thc.texas.gov/Details/5257009418,https://www.hmdb.org/m.asp?m=95469,True,True,False,False,True,False,,Forney,Kaufman,14.0,736789.0,3626142.0,32.747686,-96.472728,32.74761,-96.47262,False,Historical Marker,"Bell Park, southwest corner of Trinity and Bois D'Arc streets
",,,,,,"On October 5, 1899, Edward H. R. Green drove his newly-acquired ""St. Louis"" automobile from Terrell to Dallas. Accompanied by the car's manufacturer, George B. Dorris, Green passed through Forney on his historic journey. The five-and-one-half-hour, thirty-mile trip was marked by an accident in Forney, necessitating repairs to the automobile by a local blacksmith. Upon their arrival in Dallas, Green and Dorris were met by a cheering crowd. Hailed as a first in Texas, the automobile trip caused a sensation in area newspapers and among local citizens. (1990)",561,,POINT (-96.472728 32.747686)
20088,,A. J. Head Service Station,,https://atlas.thc.texas.gov/Details/5507020088,,True,False,False,False,False,False,316 Main Street,Garland,Dallas,14.0,721160.0,3644069.0,32.912333,-96.635152,,,False,Historical Marker,southeast corner of Main Street and Third Street,,,,,,,0,,POINT (-96.635152 32.912333)
6640,96704,Abraham Carver Cemetery,,https://atlas.thc.texas.gov/Details/5113006640,https://www.hmdb.org/m.asp?m=96704,True,True,False,False,True,False,,Dallas,Dallas,14.0,720668.0,3626293.0,32.752398,-96.644623,32.75645,-96.64603,False,Historical Marker,in park,,,,,,"Twenty-one graves have been located in the Abraham Carver Cemetery which covers one-half acre of land and contains six generations of Carver family members. The earliest marked grave is that of Abraham Carver (1806-1883), who came to Texas in 1844 with his brothers Solomon and Daniel. This family cemetery is located on a small portion of his original 320-acre land grant. Carver's second wife, Elizabeth (d. 1885), and two of their children are also interred here. The last burial, that of Chris Carver (b. 1866), took place in 1946.",535,,POINT (-96.644623 32.752398)
10134,232760,Adams House,,https://atlas.thc.texas.gov/Details/5203010134,https://www.hmdb.org/m.asp?m=232760,True,True,False,False,True,False,1502 S. Washington Avenue,Marshall,Harrison,15.0,371609.0,3600198.0,32.531709,-94.367171,32.53162,-94.3675,True,Recorded Texas Historic Landmark,,,,,,,"Attorney and plantation owner Chesley Meredith Adams (1813-1859) bought this property in the 1850s and constructed a log house. His widow Martha and her husband the Rev. J. F. Riggs built this frame residence in 1880 to replace the log structure. They transferred the property in 1889 to Martha's son Chesley Francis Adams (1856-1940). A lawyer and educator, Adams married Alice Chandler Stuart in 1891 and here they raised their family of eight children. Recorded Texas Historic Landmark - 1979",495,,POINT (-94.367171 32.531709)
6584,105158,Addison State Bank,,https://atlas.thc.texas.gov/Details/5113006584,https://www.hmdb.org/m.asp?m=105158,True,True,False,False,True,False,4803 Broadway Street,Addison,Dallas,14.0,702901.0,3649246.0,32.962719,-96.829107,32.95907,-96.82938,True,Recorded Texas Historic Landmark,4803 Broadway in Addison.,,,,,,"This building was completed in 1913 to house the Addison State Bank, which had been organized the previous year to serve the new railroad community of Addison. After the bank's demise in 1926, the brick commercial structure served as a mercantile store for many years. Featuring corbeled brickwork in the cornice along the roofline, the Addison State Bank building is one of the few remaining structures from the original townsite. Recorded Texas Historic Landmark -- 1984",472,,POINT (-96.829107 32.962719)
6466,43118,Adjutants General,,https://atlas.thc.texas.gov/Details/5453006466,https://www.hmdb.org/m.asp?m=43118,True,True,False,False,True,False,2210 West 35th Street,Austin,Travis,14.0,730784.0,3627268.0,32.75911,-96.536489,30.31408,-97.76069,False,Historical Marker,"Camp Mabry front lawn near entrance on W. 35th Street, Austin",,,,,,"Texas in the Civil War ADJUTANTS GENERAL Texas in 1861-1865 had 90,000 men fighting for the South - many in units east of the Mississippi. Yet at home she had to defend 2000 miles of coastline and frontier from constant threats made by federals, Indians, and outlaws. The state Adjutant General filled the necessary Confederate troop requisitions. At the same time he organized, posted and supplied the Texas frontier Regiment in a string of forts a day’s horseback ride apart, from the Rio Grande to the Red River. He was also assigned the duties of State Inspector General, Commissary General, Ordnance Officer, and Quartermaster. He handles state correspondence on military affairs, disturbing orders and forms, kept records of the state troops, and assembled registers of Texans in Confederate service; had general charge of all military property; collected and repaired arms; inspected arsenals and magazines, received and distributed munitions. From an 1861 salary of $500, pay for this office was increased by 1865 to $2,000 a year. N. H. Darnell, Dallas; Wm. Byrd, Austin; J. Y. Dashiell, San Antonio; D. B. Culberson, Jefferson; and John Burke of Marshall successively held this difficult office. (1965)",1212,,POINT (-96.536489 32.75911)
6641,155865,Albert Carver Cemetery,,https://atlas.thc.texas.gov/Details/5113006641,https://www.hmdb.org/m.asp?m=155865,True,True,False,False,True,False,Bruton Road,Dallas,Dallas,14.0,720362.0,3625909.0,32.748998,-96.647978,32.74861,-96.64805,False,Historical Marker,SE corner of Bruton Rd. and Masters St.,,,,,,"Illinois native Albert Carver (1827-1911) purchased land in this area in 1856 and settled here with his family. A farmer and noted breeder of Durham cattle, Carver set aside this plot of land for a family graveyard. Both he and his wife, Mary (Markham), are buried here, as are four sons, J. B., J. A., George, and F. E., and their families. The oldest marked grave in the cemetery, dated 1885, is that of an infant son of J. B. and Ophelia Carver. The cemetery is a visible reminder of this pioneer family and of the area's heritage.",534,,POINT (-96.647978 32.748998)
6816,148631,Alex W. and Sarah Perry Homestead,,https://atlas.thc.texas.gov/Details/5113006816,https://www.hmdb.org/m.asp?m=148631,True,True,False,False,True,False,1509 N. Perry Road,Carrollton,Dallas,14.0,696649.0,3648653.0,32.958518,-96.896086,32.95844,-96.89625,False,Historical Marker,Pearl Perry Gravley Park,,,,,,"In 1844 Alexander Wilson Perry (1819 - 1904) and his wife Sarah (Huffman) (1824 - 1896) migrated from Illinois to Texas to join the Peters Colony. They purchased this land from Joshua B. Lee, another pioneer settler, and built a simple frame house here in the late 1850s. The Perrys had eight children who grew to adulthood. The family donated land for Union Baptist Church, Perry Cemetery, a school, and railroad right-of-way. When the Perry property was divided in 1904, one son DeWitt Clinton Perry (1856 - 1930) received this portion containing the family home. In 1909 he dismantled the old structure and used some of the lumber and stone to build this one-and-a-half story residence. A central hallway divides the interior, and ornate columns support the wrap-around porch. Behind the house stand cedar trees that once shaded the front of the pre-Civil War dwelling. Frances Grimes (Mrs. DeWitt) Perry (1866 - 1967) occupied the residence until her death just before her 101st birthday. In 1975 her daughter Pearl (Mrs. William A.) Gravley gave the house and ten acres of surrounding property to the city of Carrollton for use as a museum and park. Volunteers from the community restored the structure in 1975-76. (1976).",1227,,POINT (-96.896086 32.958518)
10178,191304,Alexander Travis Hawthorn,,https://atlas.thc.texas.gov/Details/5203010178,https://www.hmdb.org/m.asp?m=191304,True,True,False,False,True,False,,Marshall,Harrison,15.0,370823.0,3602681.0,32.554011,-94.37588,32.55403,-94.3759,False,Historical Marker,"Greenwood Cemetery, W end of East Avenue",,,,,,"(January 10, 1825 - May 31, 1899) Native of Alabama, Arkansas lawyer, colonel commanding 6th Arkansas Confederate Infantry Regiment at Battle of Shiloh in Tennessee, commended for action at Helena and Fort Hindman in Arkansas, brigadier-general in Confederate Army, commended for gallantry while leading brigade in Battle of Jenkins' Ferry in Arkansas, postwar Georgia businessman, Baptist minister in Texas from 1880 to 1899. Erected by the State of Texas, 1963",462,,POINT (-94.37588 32.554011)
9931,266773,Allis-Chalmers Pumps,,https://atlas.thc.texas.gov/Details/5183009931,https://www.hmdb.org/m.asp?m=266773,True,True,False,False,False,False,,Kilgore,Gregg,15.0,323970.0,3584544.0,32.384032,-94.871331,32.38455,-94.87148,False,Historical Marker,600 block of E. North St.,,,,,,"These two early pumping units serve as historic reminders of Kilgore's development as an oil boom town. The boom era began on Dec. 28, 1930, when the well known as the Lou Della Crim No. 1 blew in. With it, Kilgore became part of the great east Texas oil field. These reciprocal pumps, manufactured by Allis-Chalmers and first used in west Texas, were brought here in 1931 by the Shell Pipe Line Corp. to move crude oil to Houston area refineries. In service until 1985, it is estimated they pumped a combined total of over one billion barrels of oil. Texas Sesquicentennial 1836 - 1986",586,,POINT (-94.871331 32.384032)
