ref:hmdb,ref:US-TX:thc,name,Subtitle,Add'l Subtitle,memorial:website,year,,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,Section or Quarter,addr:county,addr:state,Marker Notes,isMissing,,First Published,Last Update
187153,1,Early Community Building,,,https://www.hmdb.org/m.asp?m=187153,1969,,State Historical Survey Committee,33.58918,-99.25892,200 North East Street,Seymour,,Baylor County,Texas,"It is at the intersection of North East Street and East Morris Street, on the right when traveling north on North East Street. ",,,11/30/2021,1/21/2022
93249,2,Isaac McCormick Cottage,"""Birthplace of Hutchinson County""",,https://www.hmdb.org/m.asp?m=93249,1967,,State Historical Survey Committee,35.82825,-101.44218,,Stinnett,,Hutchinson County,Texas,"It is on 5th Street east of North Main Street, on the left when traveling east. ",,,3/24/2016,3/24/2016
65285,6,"""Kelly No. 2"" Flight Line",,,https://www.hmdb.org/m.asp?m=65285,1986,,Texas Historical Commission,29.38451,-98.57419,205 S Frank Luke Dr,San Antonio,Edgewood,Bexar County,Texas,"It is on South Frank Luke Drive south of Buckner Drive, on the right when traveling south. ",,,5/13/2013,2/2/2023
212021,7,"Vicinity of Site: ""Mision de las Cabras""","(""Mission of the Goats"")",,https://www.hmdb.org/m.asp?m=212021,1970,,State Historical Survey Committee,29.10859,-98.17542,2542 County Rd 132,Floresville,,Wilson County,Texas,"It is at the intersection of State Highway 97 and County Road 132, on the left when traveling south on State Highway 97. ",,,12/7/2022,12/7/2022
215858,8,Presidio,Oldest Town in America,,https://www.hmdb.org/m.asp?m=215858,1961,,"Texas Society, Children of the American Revolution, Texas Society, Daughters of the American Colonists.",30.31034,-104.00556,,Marfa,,Presidio County,Texas,"It is on U.S. 67 0.8 miles east of Highland Street, on the right when traveling west. ",,,2/9/2023,8/5/2025
127585,9,David Ayers,"(August 10, 1793-October 25, 1881)",,https://www.hmdb.org/m.asp?m=127585,1990,,Texas Historical Commission,29.29444,-94.81222,4002 Avenue K,Galveston,,Galveston County,Texas,It can be reached from Avenue K west of 40th Street. ,,,12/19/2018,12/20/2018
117796,10,"""The Canyon News""",,,https://www.hmdb.org/m.asp?m=117796,1968,,State Historical Survey Committee,34.97874,-101.92866,1500 5th Avenue,Canyon,,Randall County,Texas,"It is at the intersection of 5th Avenue and 15th Street, on the right when traveling east on 5th Avenue. ",,,6/10/2018,1/21/2022
100448,11,"""The Claude News""",,,https://www.hmdb.org/m.asp?m=100448,1969,,State Historical Survey Committee,35.11056,-101.35908,119 Trice Street,Claude,,Armstrong County,Texas,"It is on Trice Street, on the left when traveling north. ",,,12/14/2016,12/15/2016
29619,12,"""The Ditch""",,,https://www.hmdb.org/m.asp?m=29619,1972,,State Historical Survey Committee,30.9165,-99.7865,,Menard,,Menard County,Texas,It is at the intersection of Ellis Street (U.S. 83) and Canal Street on Ellis Street. ,,,4/15/2010,3/30/2018
123671,13,The Old Eighteen,,,https://www.hmdb.org/m.asp?m=123671,1936,,State of Texas,29.48271,-97.44818,,Gonzales,,Gonzales County,Texas,"It is at the intersection of County Road 197 and South St. Joseph Street (U.S. 183), on the left when traveling west on County Road 197. ",,,9/28/2018,9/28/2018
34985,15,“Treue Der Union”,"(""Loyalty to the Union"")",,https://www.hmdb.org/m.asp?m=34985,1968,,State Historical Survey Committee,29.96978,-98.91378,,Comfort,,Kendall County,Texas,"It is on High Street west of 4th Street, on the right when traveling east. ",,,8/28/2010,10/3/2025
201227,16,"""Weir No.1"" Oil Well",,,https://www.hmdb.org/m.asp?m=201227,1964,,State Historical Survey Committee,31.28363,-102.04539,,Rankin,,Upton County,Texas,"It is at the intersection of U.S. 329 and County Highway 485, on the left when traveling north on U.S. 329. ",,,7/3/2022,7/3/2022
219119,17,Kings Highway Camino Real — Old San Antonio Road,,Marker #17,https://www.hmdb.org/m.asp?m=219119,1918,,State of Texas,31.65817,-94.80142,,Douglass,,Nacogdoches County,Texas,"It is on State Highway 21 near County Route 841, on the right when traveling west. ",,,5/8/2023,5/8/2023
228345,20,Purvines Ranch Home,,,https://www.hmdb.org/m.asp?m=228345,1964,,State Historical Survey Committee,35.34608,-101.38013,501 Elsie,Panhandle,,Carson County,Texas,It can be reached from Elsie. ,,,9/7/2023,9/7/2023
74770,22,12th Armored Division at Camp Barkeley,,,https://www.hmdb.org/m.asp?m=74770,1992,,Texas Historical Commission,32.43593,-99.80859,,Abilene,,Taylor County,Texas,"It can be reached from the intersection of Vapor Trail and Hartford Street, on the left when traveling north. ",,,6/24/2014,1/15/2022
128677,25,1890 Clay County Jail,,,https://www.hmdb.org/m.asp?m=128677,1986,,Texas Historical Commission,33.81631,-98.19703,116 North Graham Street,Henrietta,,Clay County,Texas,"It is on West Ikard Street east of North Graham Street, on the right when traveling east. ",,,1/17/2019,8/27/2020
76845,26,1890 Cornerstone Ceremony,,,https://www.hmdb.org/m.asp?m=76845,1990,,Texas Historical Commission,29.70603,-96.53967,,Columbus,,Colorado County,Texas,"It is at the intersection of Travis Street and Walnut Street (U.S. 90), on the right when traveling south on Travis Street. ",,,9/4/2014,8/6/2025
69907,28,1904 Leon River Bridge,,,https://www.hmdb.org/m.asp?m=69907,1996,,Texas Historical Commission,31.43283,-97.7613,,Gatesville,,Coryell County,Texas,"It is on West Leon Street 0.1 miles east of Old Georgetown Road, on the right when traveling east. ",,,11/2/2013,11/2/2013
155855,29,1907 Comfort State Bank Building,,,https://www.hmdb.org/m.asp?m=155855,1988,,Texas Historical Commission,29.96725,-98.90796,,Comfort,,Kendall County,Texas,"It is at the intersection of High Street and 7th Street, on the left when traveling east on High Street. ",,,9/9/2020,11/29/2021
287796,30,1908 First Baptist Church Building,,,https://www.hmdb.org/m.asp?m=287796,1991,,Texas Historical Commission,31.12659,-97.90405,305 N 3rd St,Copperas Cove,,Coryell County,Texas,"It is at the intersection of North 3rd Street and W Avenue B, on the left when traveling north on North 3rd Street. ",,,11/4/2025,11/4/2025
117886,31,1912 Cameron County Jail,,,https://www.hmdb.org/m.asp?m=117886,1994,,Texas Historical Commission,25.90523,-97.49298,1201 E Van Buren St,Brownsville,,Cameron County,Texas,"It is on East Van Buren Street south of East 12th Street, on the right when traveling north. ",,,5/29/2018,5/29/2018
187223,33,1927 Montague County Jail,,,https://www.hmdb.org/m.asp?m=187223,1991,,Texas Historical Commission,33.66432,-97.71973,112 Grand Street,Montague,,Montague County,Texas,"It is on Grand Street, on the right when traveling south. ",,,12/1/2021,4/30/2024
187277,35,1933 Weatherford City Hall,,,https://www.hmdb.org/m.asp?m=187277,1987,,Texas Historical Commission,32.75884,-97.79897,119 Palo Pinto Street,Weatherford,,Parker County,Texas,"It is at the intersection of Palo Pinto Street (U.S. 180) and South Waco Street, on the right when traveling east on Palo Pinto Street. ",,,12/2/2021,12/2/2021
55847,36,1934 Pampa Post Office Building,,,https://www.hmdb.org/m.asp?m=55847,1992,,Texas Historical Commission,35.53611,-100.96039,120 East Foster Avenue,Pampa,,Gray County,Texas,"It is at the intersection of East Foster Avenue and South Ballard Street, on the right when traveling east on East Foster Avenue. ",,,6/1/2012,11/30/2024
149796,38,33rd Anniversary National Convention,,,https://www.hmdb.org/m.asp?m=149796,1967,,State Historical Survey Committee,35.31064,-101.46143,,Panhandle,,Carson County,Texas,"It is on Highway 60 4.9 miles west of Highway 207, on the left when traveling west. ",,,5/11/2020,5/11/2020
207217,39,Site of 42nd Reunion of Hood's Texas Brigade,"(June 27-28, 1913)",,https://www.hmdb.org/m.asp?m=207217,1967,,State Historical Survey Committee,31.09865,-97.34063,112 North Main Street,Temple,,Bell County,Texas,"It is at the intersection of North Main Street and East Barton Avenue, on the right when traveling south on North Main Street. ",,,10/4/2022,10/5/2022
93762,42,6666 Dixon Creek Ranch,,,https://www.hmdb.org/m.asp?m=93762,1965,,State Historical Survey Committee,35.54142,-101.40276,,Panhandle,,Carson County,Texas,"It is on State Highway 207 ½ mile north of Four Sixes Road, on the right when traveling north. ",,,4/10/2016,7/31/2020
187140,44,A Jesse James Hideout,(Located 2 Blocks East and 2 Blocks North),,https://www.hmdb.org/m.asp?m=187140,1972,,State Historical Survey Committee,33.59519,-98.62558,100 South Center Street,Archer City,,Archer County,Texas,"It is on South Center Street (State Highway 79), on the right when traveling north. ",,,11/30/2021,10/31/2025
152004,45,A Memorial to Civil War Education in Texas,,,https://www.hmdb.org/m.asp?m=152004,1965,,State Historical Survey Committee,31.06576,-97.46378,304 Vann Cir,Belton,,Bell County,Texas,"It is on Vann Circle west of College Street, on the left when traveling east. ",,,6/27/2020,6/27/2020
261290,52,A. H. Fortenberry,(1829 - 1868),,https://www.hmdb.org/m.asp?m=261290,1977,,Texas Historical Commission,33.39589,-97.38484,1137 Fortenberry Rd,Decatur,,Wise County,Texas,"It is at the intersection of Farm to Market Road 51 and Fortenberry Road, on the right when traveling east on Road 51. ",,,11/22/2024,8/22/2025
