OsmNodeID,thc:Latitude,thc:Longitude,abandoned:historic,abandoned:memorial,access,addr:city,addr:country,addr:county,addr:full,addr:state,alt_name,check_date,colour,contact:facebook,date,description,designation,direction,ele,flickr,gnis:feature_id,heritage,heritage:operator,historic,image,image:creator,inscription,inscription:url,mapillary,material,memorial,memorial:website,name,name:en,name:es,name:etymology:wikidata,name:pt,name:sr,name:ur,name:zh,note,official_name,openplaques:id,operator,operator:es,operator:wikidata,panoramax,ref:US-TX:thc,ref:hmdb,short_name,source:url,source:website,source_ref,start_date,subject:wikidata,subject:wikimedia_commons,subject:wikipedia,support,thc:designation,thc:inscription_date,website,wikidata,wikimedia_commons,wikipedia,year
356723845,32.3348217,-100.8249518,,,,,,,,,,,,,,,,,636,,1346912,,,memorial,,,,,,aluminium,plaque,https://www.hmdb.org/m.asp?m=240197,Seven Wells,,,,,,,,,,,Texas Historical Commission,,Q2397965,,4645,240197,,,,,1936,,,,pole,Historical Marker,,https://atlas.thc.texas.gov/Details/5335004645,,,,
356736649,34.0665489,-99.6187785,,,,,,,,,,,,,,,,320,410,,1359306,,,memorial,,,,,,,plaque,,Site of the Town of Margaret,,,,,,,,,,,Texas Historical Commission,,Q2397965,,4940,170429,,,https://atlas.thc.texas.gov/Details/5155004940,,1936,,,,,,,,,,,
356736651,34.0665773,-99.6001869,,,,,,,,,,,,,,,,180,410,,,,,memorial,,,,,,,plaque,,Pease River Battlefield,,,,,,,,,,,Texas Historical Commission,,Q2397965,,16058,170422,,,https://atlas.thc.texas.gov/Details/5507016058,,1936,,,,,,,,,,,
356852153,29.9697768,-98.9138382,,,,,,,,,,,,,,,,,,,2031880,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=34985,Treue Der Union Monument,,,,,,,,,,,Texas Historical Commission,,Q2397965,,15,34985,,,https://atlas.thc.texas.gov/Details/5259000015,,1968,,,,,Historical Marker,,,Q7838895,,en:Treue der Union Monument,
1655546236,33.2148294,-97.1328532,,,,,,,,,,,,,,,Gravesite - Historic Person,,,https://flic.kr/p/2mePRrV,,,,memorial,,,,,,granite,plaque,https://www.hmdb.org/m.asp?m=121788,John B. Denton Gravesite,,,,,,,,,,,Texas Historical Commission,,Q2397965,,2767,121788,,,https://atlas.thc.texas.gov/Details/5121002767,,,,,,,,,,,,,
3944737906,34.6397138,-102.7157052,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,https://www.hmdb.org/m.asp?m=56074,Friona Women's Club,,,,,,,,,,,Texas Historical Commission,,Q2397965,,13217,56074,,,https://atlas.thc.texas.gov/Details/5369013217,,2005,,,,pole,,,,,,,
4030922998,25.938192,-97.4879623,,,,,,,,,,,gray,,,,,,,,,,,memorial,,,,,,granite,plaque,https://www.hmdb.org/m.asp?m=220903,Battle of Resaca de la Palma,,,,,,,,,,,Texas Historical Commission,,Q2397965,,328,220903,,,https://atlas.thc.texas.gov/Details/5061000328,,1936,Q2890818,,en:Battle of Resaca de la Palma,,Centennial Marker,,,,,,
10176906139,30.1676262,-96.3963833,,,,,,,,,,,,,,Texas Historical Marker,,,,,,,,memorial,,,,,,aluminium,plaque,https://www.hmdb.org/m.asp?m=245556,Site of Piedmont Springs Resort,,,,,,,,,,,Texas Historical Commission,,Q2397965,,8609,245556,,,https://atlas.thc.texas.gov/Details/5185008609,,1967,,,,,Historical Marker,,,,,,
4733074354,32.2386591,-99.8807246,,,,,,,,,,,,,,,,,,https://flic.kr/p/a5fSmQ,,,,memorial,,,,,,aluminium,plaque,https://www.hmdb.org/m.asp?m=79332,The Civilian Conservation Corps at Abilene State Park,,,,,,,,,,,Texas Historical Commission,,Q2397965,,12511,79332,,,https://atlas.thc.texas.gov/Details/5441012511,,,,,,pole,,,,,,,
5158559637,32.6643059,-95.4888921,,,,,,,,,,,,,,,,283,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139032,Dr. Pepper Bottling Plant,,,,,,,,,,,Texas Historical Commission,,Q2397965,,15843,139032,,,https://atlas.thc.texas.gov/Details/5507015843,,2009,,,,,,,,,,,
